#date_dd/MM/yyyy,time,latitude,longitude,depth,heading,pitch,roll
10/02/2024,19:33:31,0.000275449,0.000229739,-0.137953147,0.000000213,-0.000000426,0.000000000
10/02/2024,19:33:31,0.000275486,0.000230441,-0.137953147,0.000000226,-0.000000452,0.000000000
10/02/2024,19:33:32,0.000275509,0.000230975,-0.137953147,0.000000258,-0.000000516,0.000000000
10/02/2024,19:33:32,0.000275552,0.000232421,-0.137953147,0.000000296,-0.000000593,0.000000000
10/02/2024,19:33:32,0.000275563,0.000232970,-0.137953147,0.000000328,-0.000000657,0.000000000
10/02/2024,19:33:32,0.000275578,0.000233889,-0.137953147,0.000000361,-0.000000721,0.000000000
10/02/2024,19:33:32,0.000275593,0.000235184,-0.137953147,0.000000393,-0.000000785,0.000000000
10/02/2024,19:33:32,0.000275596,0.000235555,-0.137953147,0.000000418,-0.000000837,0.000000000
10/02/2024,19:33:32,0.000275603,0.000236672,-0.137953177,0.000000457,-0.000000914,0.000000000
10/02/2024,19:33:32,0.000275607,0.000237604,-0.137953177,0.000000489,-0.000000978,0.000000000
10/02/2024,19:33:32,0.000275610,0.000238351,-0.137953177,0.000000515,-0.000001030,0.000000000
10/02/2024,19:33:32,0.000275612,0.000239287,-0.137953177,0.000000547,-0.000001094,0.000000000
10/02/2024,19:33:33,0.000275614,0.000240222,-0.137953177,0.000000579,-0.000001159,0.000000000
10/02/2024,19:33:33,0.000275616,0.000241346,-0.137953177,0.000000618,-0.000001236,0.000000000
10/02/2024,19:33:33,0.000275617,0.000242471,-0.137953177,0.000000657,-0.000001313,0.000000000
10/02/2024,19:33:33,0.000275617,0.000243033,-0.137953177,0.000000676,-0.000001352,0.000000000
10/02/2024,19:33:33,0.000275618,0.000244158,-0.137953177,0.000000715,-0.000001429,0.000000000
10/02/2024,19:33:33,0.000275618,0.000245471,-0.137953177,0.000000747,-0.000001493,0.000000000
10/02/2024,19:33:33,0.000275619,0.000245846,-0.137953177,0.000000772,-0.000001545,0.000000000
10/02/2024,19:33:33,0.000275619,0.000246784,-0.137953177,0.000000805,-0.000001609,0.000000000
10/02/2024,19:33:33,0.000275619,0.000248285,-0.137953177,0.000000843,-0.000001687,0.000000000
